day,district,trips
2008-12-31,Manhattan,4
2009-01-01,Manhattan,7
2021-12-31,Manhattan,22
2022-01-01,Manhattan,55593
2022-01-02,Manhattan,48169
2022-01-03,Manhattan,60738
2022-01-04,Manhattan,64757
2022-01-05,Manhattan,66017
2022-01-06,Manhattan,72592
2022-01-07,Manhattan,65063
2022-01-08,Manhattan,75744
2022-01-09,Manhattan,55735
2022-01-10,Manhattan,66240
2022-01-11,Manhattan,71090
2022-01-12,Manhattan,73824
2022-01-13,Manhattan,78146
2022-01-14,Manhattan,85781
2022-01-15,Manhattan,81579
2022-01-16,Manhattan,65153
2022-01-17,Manhattan,54259
2022-01-18,Manhattan,76480
2022-01-19,Manhattan,79989
2022-01-20,Manhattan,83960
2022-01-21,Manhattan,93817
2022-01-22,Manhattan,90146
2022-01-23,Manhattan,68452
2022-01-24,Manhattan,70848
2022-01-25,Manhattan,80756
2022-01-26,Manhattan,89994
2022-01-27,Manhattan,92274
2022-01-28,Manhattan,88501
2022-01-29,Manhattan,32702
2022-01-30,Manhattan,62103
2022-01-31,Manhattan,75568
2022-02-01,Manhattan,5
2022-02-22,Manhattan,1
2022-03-09,Manhattan,1
2022-03-15,Manhattan,3
2022-04-06,Manhattan,1
2022-05-18,Manhattan,2
